Books_name,Books_Author,Books_Date,Books_Kindle,Books_Hardcover,Books_Pages,Books_Publisher,Books_Language,Books_Rating,Books_Reviews,Books_Dimensions
We Were the Lucky Ones: A Novel,Georgia Hunter,"Jan 2, 2018",,$12.80 ,,"Penguin Books; Reprint edition (January 2, 2018)",English,4.8 out of 5 stars,"1,650 customer reviews",)
An American Marriage: A Novel (Oprah's Book Club 2018 Selection),Tayari Jones,"Feb 6, 2018",,$16.17 ,320 pages,"Algonquin Books; Oprah's Book Club edition (February 6, 2018)",English,4.5 out of 5 stars,"2,019 customer reviews",1616208775
You're Only Old Once!: A Book for Obsolete Children,Dr. Seuss,"Jan 27, 2009",,$11.06 ,56 pages,Random House; 1st edition (March 1986),English,4.5 out of 5 stars,"1,272 customer reviews",8.3 x 0.4 x 11.3 inches
When We Were Young: A Novel (The Baxter Family),Karen Kingsbury,"Oct 16, 2018",,$15.00 ,416 pages,"Howard Books (October 16, 2018)",English,4.8 out of 5 stars,34 customer reviews,5.5 x 1.3 x 8.4 inches
The Book Thief,Markus Zusak,"Sep 11, 2007",,$10.16 ,,"Alfred A. Knopf; Reprint edition (September 11, 2007)",English,4.6 out of 5 stars,"17,809 customer reviews",9.78E+12
The Books of Earthsea: The Complete Illustrated Edition (Earthsea Cycle),Ursula K. Le Guin,"Oct 30, 2018",$37.42 ,$37.42 ,1008 pages,"Saga Press; Illustrated edition (October 30, 2018)",English,3.8 out of 5 stars,13 customer reviews,7 x 3.2 x 9 inches
Target: Alex Cross,James Patterson,"Nov 19, 2018",$15.29 ,$18.90 ,432 pages,"Little, Brown and Company (November 19, 2018)",English,,,6.2 x 1.4 x 9.6 inches
D&D MORDENKAINEN'S TOME OF FOES (D&D Accessory),Wizards RPG Team,"May 29, 2018",,$28.83 ,256 pages,"Wizards of the Coast (May 29, 2018)",English,4.5 out of 5 stars,178 customer reviews,8.6 x 0.7 x 11.1 inches
Alaskan Holiday: A Novel,Debbie Macomber,"Oct 2, 2018",$11.99 ,$11.39 ,256 pages,"Ballantine Books (October 2, 2018)",English,4.1 out of 5 stars,149 customer reviews,)
Dungeons & Dragons Guildmasters' Guide to Ravnica / D&D/Magic: The Gathering Adventure Book and Campaign Setting,Wizards RPG Team,"Nov 20, 2018",,$31.42 ,,"Wizards of the Coast (November 20, 2018)",English,,,)
CIRCE (#1 New York Times bestseller),Madeline Miller,"Apr 10, 2018",,$18.36 ,400 pages,"Little, Brown and Company; 1st Edition edition (April 10, 2018)",English,4.7 out of 5 stars,711 customer reviews,)
Things Fall Apart,Chinua Achebe,"Sep 1, 1994",$14.12 ,$7.95 ,,"Penguin Books (September 1, 1994)",English,4.3 out of 5 stars,"1,699 customer reviews",)
The Handmaid's Tale,Margaret Atwood,"Mar 16, 1998",$14.95 ,$11.70 ,,"Anchor; 1st Anchor Books edition (March 16, 1998)",English,4.1 out of 5 stars,"13,196 customer reviews",)
The Alice Network: A Novel,Kate Quinn,"Jun 6, 2017",$29.36 ,$11.11 ,,"William Morrow Paperbacks (June 6, 2017)",English,4.7 out of 5 stars,"2,389 customer reviews",)
Animal Farm,George Orwell,"Apr 6, 2004",$15.99 ,$6.96 ,,Signet; 50th Anniversary edition (1996),English,4.4 out of 5 stars,"4,082 customer reviews",)
Ready Player One: A Novel,Ernest Cline,"Jun 5, 2012",$20.00 ,$7.90 ,,"Broadway Books; 32089th edition (June 5, 2012)",English,4.6 out of 5 stars,"18,323 customer reviews",)
The Catcher in the Rye,J.D. Salinger,"May 1, 1991",$19.60 ,$7.19 ,,"Little, Brown and Company (May 1, 1991)",English,4.1 out of 5 stars,"3,651 customer reviews",4.2 x 0.8 x 6.8 inches
The Five People You Meet in Heaven,Mitch Albom,"Mar 1, 2006",$11.79 ,$9.65 ,,"Hachette Books; Reprint edition (April 7, 2003)",English,4.6 out of 5 stars,"3,214 customer reviews",5.1 x 0.5 x 7.1 inches
The Overstory: A Novel,Richard Powers,"Apr 3, 2018",$19.00 ,$13.95 ,512 pages,"W. W. Norton & Company; 1st Edition edition (April 3, 2018)",English,4.5 out of 5 stars,295 customer reviews,)
Listen to the Marriage: A Novel,John Jay Osborn,"Oct 23, 2018",,$16.51 ,256 pages,"Farrar, Straus and Giroux (October 23, 2018)",English,4.0 out of 5 stars,21 customer reviews,)
Small Great Things: A Novel,Jodi Picoult,"Feb 20, 2018",$17.60 ,$9.49 ,,"Ballantine Books; Reprint edition (February 20, 2018)",English,4.7 out of 5 stars,"7,937 customer reviews",)
Chronicles of Narnia Box Set,C. S. Lewis,"Oct 19, 2010",,$25.76 ,,"HarperCollins Narnia; Media Tie In edition (October 19, 2010)",English,4.7 out of 5 stars,"5,814 customer reviews",978-0061992889
The Tales of Beedle the Bard: The Illustrated Edition (Harry Potter),J.K. Rowling,"Oct 9, 2018",,$22.48 ,160 pages,"Arthur A. Levine Books; Illustrated, New edition (October 9, 2018)",English,4.7 out of 5 stars,16 customer reviews,9.78E+12
The Tales of Beedle the Bard: The Illustrated Edition (Harry Potter),J.K. Rowling,"Oct 9, 2018",,$22.48 ,160 pages,"Arthur A. Levine Books; Illustrated, New edition (October 9, 2018)",English,4.7 out of 5 stars,16 customer reviews,9.78E+12
Women Who Run with the Wolves: Myths and Stories of the Wild Woman Archetype,,"Nov 27, 1996",,$6.40 ,,"Ballantine Books; Reissue edition (November 27, 1996)",English,4.5 out of 5 stars,"1,010 customer reviews",)
The Hobbit and the Lord of the Rings (the Hobbit / the Fellowship of the Ring / the Two Towers / the,J.R.R. Tolkien,"Sep 25, 2012",,$21.36 ,,"Del Rey (September 25, 2012)",English,4.7 out of 5 stars,"19,207 customer reviews",)
